STARTUP,ASSUNTO,RESUMO
Pendo,ENTERPRISETECH,Plataforma completa que permite otimizar qualquer experiência digital
PlayerUm,ENTERPRISETECH,"Plataformas customizadas para todas as ações corporativas. Alto engajamento, satisfação e resultados através da gamificação."
Plika,FINTECH,"Solução de planejamento e análise financeira em nuvem criada por e para profissionais de finanças corporativas. Por meio de automação e análise, o Plika permite que diga “adeus” às planilhas e passe “mais tempo analisando e menos tempo se preparando” nos processos de planejamento, controle gerencial, previsão e relatórios."
Programmers,IA,"Construção de soluções digitais através das mais modernas tecnologias em aplicações digitais, dados, inteligência artificial, análises de negócios e automações de processos, para atingir os objetivos de negócio de cada cliente."
Quality Digital,ENTERPRISETECH,"Com mais de 34 anos de história, a Quality Digital é uma das principais empresas de tecnologia do Brasil tendo como diferencial a habilidade de criar experiências digitais únicas, e em múltiplos canais."
Reutilize Já,SUSTAINABILITY ,"Startup especializada em desenvolver soluções ESG. Rastreabilidade de cadeias produtivas, logística reversa inteligente + sustentável, utilizando tecnologias digitais para escalar impactos socioambientais positivos e oferecer transparência aos stakeholders e a sociedade em geral."
Ripple,FINTECH,"Atuam com câmbio e remessa, utilizando a tecnologia Ripple, permitindo agilizar toda a operação, além de reduzir custos."
Similarweb,ENTERPRISETECH,"Análise de dados para analisar as tendências do mercado no setor, descobrir insights competitivos sobre o número de consumidores acessando seus bancos, além de tráfego de pagamentos e downloads de aplicativos do usuário"
Tera,ENTERPRISETECH,"Formações online com interações ao vivo liderados por experts do mercado digital, com foco em Desenvolvimento de produtos."
Test Makers,ENTERPRISETECH,"Plataforma para prototipagem e teste de ideias, antes de evoluir para um projeto mais complexo."
UNIT,FINTECH,1º benefício corporativo focado em redução de dívidas. Benefício de redução de dívidas que oferece crédito sustentável e uma rede de soluções que promovem equilíbrio e bem-estar financeiro para seus colaboradores.
Wynk Soluções Digitais ltda,SMART CITIES,"Wynk é um app que transforma os gastos em vantagens incríveis, como Cashback nas lojas parceiras do Distrito Federal ao pagar com Wynk."
Sling Hub,ENTERPRISETECH,"A Sling Hub tem como missão facilitar a interação e desenvolvimento no ecossistema de startups da América Latina. Sua plataforma possui informações detalhadas sobre milhares de startups, investidores e aceleradoras na região."
QueroQuitar,FINTECH,"A QueroQuitar é um marketplace de negociação com mais de 50 credores conectados, e mais de 100 milhões de devedores com dívidas a negociar na plataforma."
Voltzx,SUSTAINABILITY ,"Uma plataforma conecta investidores, proprietários de terra e empresas de energia solar para impulsionar a produção de energia limpa e renovável, reduzindo a dependência de combustíveis fósseis, emissões de gases de efeito estufa e custo de energia, além de reforçar a rede elétrica."
Omnibus,SMART CITIES,"Somos uma startup que desenvolveu um sistema de bilhetagem eletrônica na nuvem, com contas de pagamento, integração com meios de pagamentos, aplicativo para os usuários e painel de administração para o gestor."
Emuseu,SMART CITIES,"Plataforma de criação de experiências imersivas para 
registro cultural e esportivo da história brasileira."
MA.IA,IA,Desenvolvimento de soluções de visão computacional agregado com IA para inspeções em linhas de montagens industriais complexas e auxilio na tomada de decisão
4Leads,MEDIA&ADS,"A 4leads é focada em aumentar a representação de sua marca dentro do mercado, gerando: Valor, Reonhecimento e Lucro."
AgnosticData,ENTERPRISETECH,"Comece a conectar seus eventos com segurança e privacidade com AgnosticData.ai. Somos a plataforma de coleta e gerenciamento de dados do cliente que ajuda a sua empresa a coletar, limpar e centralizar informações dos usuários de várias fontes, como aplicativos web, aplicativos móveis, servidores e até mesmo dispositivos conectados."
BP Marketing,MEDIA&ADS,"Nossa missão é transformar seu negócio através do marketing digital. Somos apaixonados por marketing e tecnologia, e trabalhamos para impulsionar os resultados da sua empresa com estratégias digitais eficazes. Conquiste mais clientes e maximize seus resultados com nosso posicionamento digital especializado."
Cconsensus,CYBERSEGURANÇA,"Frente a desperdícios significativos de recursos, sejam eles financeiros ou não, a Cconsensus desenvolveu uma solução integrada à tecnologia blockchain para empresas que buscam privacidade, conformidade e eficiência. Com foco em simplificação os processos, aumento da gestão do registro de ativos e integração perfeita com outros ecossistemas de blockchain."
Clever Systems,ENTERPRISETECH,"CleverSystems é uma empresa brasileira de tecnologia especializada em sistemas inovadores de gerenciamento de atendimento e mídia indoor. Nossa expertise abrange diversos segmentos como clínicas médicas, edifícios comerciais, restaurantes, instituições de ensino, supermercados, cartórios, agências bancárias, lotéricas e eventos em geral."
InBim+,REGTECH,"A InBIM+ é uma empresa da UnB que oferece serviços especializados na implementação e difusão do Building Information Modeling (BIM) na construção civil. Promovendo qualidade e inovação, a InBIM+ foca na capacitação, gestão de projetos e estratégias BIM personalizadas para melhorar a eficiência e performance ambiental."
Nina.ai,MEDIA&ADS,"Somos uma startup que busca oferecer um modelo de atendimento virtual utilizando predição e treinamento avançados para proporcionar o melhor serviço possível. Ideal para qualquer tipo de atendimento primário, com destaque para restaurantes e clínicas, Nina.ai garante eficiência e satisfação ao cliente."
SchoolTools,MEDIA&ADS,"Somos uma plataforma de ensino objetiva, prática e acessível para treinar profissionais nas melhores ferramentas de IA da atualidade para marketing, prdoutividade e negócios."
Tributa.ai,REGTECH,"Tributa.ai é uma startup inovadora que utiliza inteligência artificial para garantir a precisão no cálculo de impostos sobre a aquisição e venda de mercadorias. Nossa ferramenta verifica minuciosamente possíveis faltas ou excessos de recursos, ajudando empresas a ajustarem seus registros junto à Receita de forma eficiente e precisa."
Niiw,ENTERPRISETECH,"O Niiw Open Economy! Open Data! atua no setor de tecnologia de dados de consumo. Somos um Serviço de Coleta, Higienização, Categorização e Análise de Dados de Consumo, do mercado físico, através de Big Data via API White Label/Saas para Plataformas Digitais. A coleta desses dados é feita a partir de integrações (POS e Convênios) e leitura do QRCode das NFCe e Código de Barras das NFe."
LiveFarm,AGTECH ,"Agritech com soluções para aumento da competitividade e produtividade da agricultura brasileira. Atua em três frentes principais: Equipamentos (colheitadeiras, plantadeiras, tratores e retroescavadeiras), Tecnologia (com o piloto automático para tratores) e, Monitoramento para o sistema de pragas do algodão validado e a de multipragas em desenvolvimento (percevejo, lagarta e a do eucalipto)."
Game360,ENTERPRISETECH,"A Game360 desenvolveu uma plataforma de gamificação personalizada para transformar o comportamento dos usuários através de desafios e técnicas de engajamento. Ela combina elementos de jogos em um ambiente personalizado, com o objetivo de aumentar o engajamento dos clientes e aproximar as marcas de seu público-alvo."
Axis 4 Fare,SMART CITIES,"Nossa estratégia é oferecer soluções integradas para uma mobilidade eficiente, centradas no ""bandeiramento"" de cartões de transporte (Elo, Mastercard, Visa) e credenciais com tecnologia EMV. Atuamos no transporte público e sistemas complementares, auxiliando na captura e processamento de transações de forma segura e compatível, garantindo a aplicação das regras de mobilidade urbana."
Photo.live,MEDIA&ADS,"A Photos.live é uma plataforma que usa visão computacional e computação em nuvem para fornecer análises valiosas de eventos. Capacitando empresas e marcas, a tecnologia extrai insights detalhados de imagens e vídeos, como detecção de logotipos e comportamento do consumidor, transformando experiências de eventos e estratégias de marketing."
Pagô,FINTECH,"A Pagô é uma plataforma de automatização de pagamentos que facilita o pagamento de contas, impostos e colaboradores com uma interface simples e intuitiva. Já movimentamos mais de 500 milhões de reais, atendendo diversos setores. Desenvolvemos também um braço de Infra, fornecendo micro serviços financeiros e soluções completas via APIs, aprimorando a eficiência bancária de nossos clientes."
Green Balance,SUSTAINABILITY ,"A Green Balance é uma climate fintech brasileira que automatiza o cálculo da pegada de carbono via transações financeiras, como PIX e boleto. Oferecendo análise detalhada, compensação de emissões e dicas de consumo sustentável, a solução permite a indivíduos e PMEs gerenciar suas emissões de carbono diretamente no app bancário."
Bankmidia,MEDIA&ADS,Adtech que conecta marcas e consumidores através de uma das mídias mais consumidas no Brasil – o comprovante do Pix. 
Agrotech Global,SUSTAINABILITY ,"Projetada para atender ao agronegócio nacional, com o fornecimento de soluções completas de armazenamento e processamento de dados, edge data center, conectividade, telemetria e softwares de gestão agrícola, georreferenciamento e energias renováveis. "
BuyTicket,FINTECH,"Facilitamos a revenda segura de ingressos para eventos, protegendo os fãs de golpes e garantindo a autenticidade dos ingressos, evitando a frustração de eles serem impedidos de realizar esse sonho por ter comprado um ingresso falso. Fazemos isso através da BuyTicket!"
OrionBI,MEDIA&ADS,"A Orion BI é uma empresa especializada em oferecer soluções eficientes de Gestão de Dados. Promove uma cultura de gestão baseada em dados como diferencial competitivo para a tomada de decisões nos negócios. Oferece serviços como Projeto de Escopo Fechado, Consultoria em Dados e BI-as-a-Service (BIaaS), que inclui uma infraestrutura completa de dados apoiada por uma equipe de especialistas."
BioFeed,SUSTAINABILITY ,"Produzimos a Forragem Verde Hidropônica, o melhor suplemento proteico do mercado pecuário, repleto de nutrientes, minerais, vitaminas e um pool de enzimas digestivas que podem melhoras a saúde dos animais e os seus resultados produtivos. Diminuimos os riscos ambientais, otimizamos o uso da água e da terra, além de permitir uma produção consistente durante todo o ano, independentemente das condições climáticas."
Conducco ,INSURTECH,"A Conducco é um SaaS enabled marketplace que busca empoderar as corretoras na distribuição de seguros e benefícios empresariais, utilizando um iPaaS que oferece ganhos de escala por meio de automações e conectividade para melhor atender os clientes. Nossa solução tambem inclui ferramentas de checkout e assistentes de IA que aprimoram o processo de compra B2B e B2B2C, aumentando a adesão de beneficiários e a aquisição de novos serviços pelos clientes das corretoras parceiras."
Webum,ENTERPRISETECH,"A Fridom é uma empresa de tecnologia que utiliza dados e criatividade para transformar ideias em resultados reais. Com uma equipe apaixonada e experiente, a Fridom oferece soluções personalizadas para impulsionar o crescimento de seus clientes, combinando análise de dados com uma abordagem inovadora e focada em pessoas."
Cliv ,HEALTHTECH,"Cliv é uma ferramenta de saúde que utiliza inteligência artificial e visão computacional para ajudar os usuários a adotar hábitos mais saudáveis. Oferece análises nutricionais personalizadas, acompanhamento de sintomas e hábitos, além de conectar o usuário a profissionais de saúde para consultas, tudo com o objetivo de melhorar a qualidade de vida, reduzir a negligência médica e apoiar o bem-estar geral."
CRIA Incubator,ENTERPRISETECH,"A CRIA Incubator é uma startup focada em incubação de empresas que utilizam inteligência artificial (IA) para criar soluções escaláveis. Nosso principal projeto, o ALL.AI, busca desenvolver 28 aplicativos com IA, voltados para profissionais liberais, facilitando o uso da tecnologia sem a necessidade de dominar engenharia de prompts."
TS4,CYBERSEGURANÇA,"A  tecnologia tem alcançado cada vez mais mercado, atingindo praticamente todos os setores. A TS4 está comprometida em auxiliar as empresas, tanto públicas quanto privadas, nessa jornada, oferecendo soluções robustas e confiáveis, juntamente com serviços de suporte e sustentação completos. Acreditamos que nossas soluções permitirão que qualquer entidade, pública ou privada, de qualquer segmento, explorem todo o potencial da tecnologia de forma segura, eficiente e econômica, impulsionando sua inovação e sua competitividade."
Clube da Nota,ENTERPRISETECH,"O Clube da Nota é uma plataforma colaborativa que otimiza processos de compras, permitindo que estabelecimentos compartilhem anonimamente dados de compras para acessar e comparar preços de outros estabelecimentos, melhorando a eficiência e transparência nas aquisições. Ideal para a Central de Compras do Governo Federal, a plataforma facilita decisões baseadas em dados concretos, promovendo economia e eficiência."
DogCat,HEALTHTECH,"A DogCat é uma operadora de plano de saúde para cães e gatos. Que traz uma solução de planejamento de despesas com seus pets, aumentando a qualidade de vida, longevidade e principalmente a prevenção de doenças."
Corejur,REGTECH,"A CoreJur oferece uma plataforma inovadora em automação jurídica. Permite a criação automatizada de petições e contratos com o apoio de inteligência artificial, simplificando o processo de elaboração de peças jurídicas; assistente jurídico que utiliza IA generativa para produzir conteúdo jurídico personalizado de forma eficiente e; o controle e a execução de processos de negócios, organizando fluxos de trabalho e prazos, otimizando a gestão de atividades jurídicas."
BeeGame,EDTECH ,"Beegame é uma plataforma de educação gamificada para tomada de decisão com engajamento de times de empresas, de ongs e órgãos públicos"
Indulge Me,SMART CITIES,"A Indulge Me desenvolve soluções gamificadas inovadoras, unindo gamificação e tecnologias emergentes, como Web3 e IA, para promover engajamento e inclusão digital, especialmente no setor financeiro. Com uma plataforma no-code, cria experiências personalizadas que tornam a educação financeira interativa e eficaz, colaborando com grandes instituições para gerar impacto positivo e resultados significativos."
MatchIT,IA,"Simplificamos os processos de gestão da inovação e da transformação digital com Inteligência Artificial. Nosso consultor virtual em Gen-AI automatiza o funil da ideação ao refinamento de projetos, e nossa plataforma de matchmaking aplica machine learning para conectar os melhores fornecedores de soluções para cada desafio de inovação."
PytaTech,ENTERPRISETECH,"A Plataforma de Repositórios Arquivísticos Digitais Confiáveis (RDC-Arq) da Pytá oferece uma solução centrada na manutenção da cadeia de custódia, garantindo preservação digital segura e eficiente. Nossa abordagem facilita a integração com infraestruturas existentes, assegurando um processo ininterrupto e confiável."
Joves Engenharia Energia Inércia,SUSTAINABILITY ,"Somos uma startup de autotech focada em mobilidade verde. Criamos o Ecopla - Economia Verde Acoplada, um dispositivo eletrônico que, por meio da inércia, reduz o consumo de combustível e emissões de gases. Oferecemos um aumento médio de 30% na autonomia do veículo, sem comprometer eficiência ou desempenho do motor, além de prolongar sua vida útil. Apresentamos uma solução disruptiva para um futuro mais sustentável."
Retrilhar,SUSTAINABILITY ,
Ópera Dados,IA,"Ópera Dados é a tecnologia que a TUPY escolheu para monitorar em tempo real a água que é lançada no meio ambiente, assim como é a escolha do Governo do DF para monitorar em tempo real a qualidade do ar da cidade. Composto por sensores desenvolvidos pela própria startup, o dispositivo Ópera é um produto capaz de acompanhar em tempo real a qualidade ambiental da água, solo ou ar e gerar alertas/alarmes conforme configuração desejada, além de disponibilizar os dados aos interessados."
